Regione,Sito Web Ufficiale,Keywords
Abruzzo,https://www.mim.gov.it/web/abruzzo,"Procedura di conferimento dell'incarico dirigenziale di livello, Graduatorie di merito dei vincitori"
Basilicata,https://www.mim.gov.it/web/basilicata,"DECRETO MINISTRIALE N. 269, Potenziamento 2261"
